repo_name,commit,message,Is_Positive,Is_Negative,Justification,Certain,Comment,Sampling
mroonga/mroonga,e204a63e4b507528f3de700c51401233c70eaf13,"Merge pull request #17 from naoa/doc-mroonga_vector_column_delimiter-variable

doc: add mroonga_vector_column_delimiter variable

Patch by Naoya Murakami. Thanks!!!",TRUE,FALSE,thanks,,,28_dec_2020_pos_hits_3334798837
google/llvm-propeller,e03a25da70c6fd476d9be766eba0e46c9f3c1796,"Add Support to Recognize and Vectorize NON SIMD instructions in SLPVectorizer.

This patch adds support to recognize patterns such as fadd,fsub,fadd,fsub.../add,sub,add,sub... and
vectorizes them as vector shuffles if they are profitable.
These patterns of vector shuffle can later be converted to instructions such as addsubpd etc on X86.
Thanks to Arnold and Hal for the reviews. http://reviews.llvm.org/D4015 

llvm-svn: 211339
",TRUE,FALSE,thanks,,,28_dec_2020_pos_hits_3334798837
jepler/linuxcnc-mirror,b38797a7d4bc81b0c0f9ea5e1df71e79cf770409,"hm2: fix long standing encoder velocity estimation error (thanks pcw and jepler)

We located source of calculating Nan velocity in some configurations.
It was when driver got some encoder pulses without changing timestamp, which is possible but mostly from electrical noise.
Driver just skips calculating velocity in current cycle and uses last one.

Signed-off-by: Michael Geszkiewicz <1353f14f196456fb320ac2b8adb59fdfeedb558b@wp.pl>
",TRUE,FALSE,thanks,,,28_dec_2020_pos_hits_3334798837
coreboot/coreboot,ce2c1cb742b17623978f3d9a9e414552189bc819,"mb/google/sarien: leave gpio pads unlocks during fsp

The FSP will lock down the configuration of GPP_A12, which
makes the configuration of the GPIO pin on warm reset not
work correctly.

This is only needed for the Arcada variant since it is the only variant
that uses ISH.

BRANCH=sarien
BUG=b:132719369
TEST=ISH_GP6 now works on warm resets on arcarda

Change-Id: Icb3bae2c48eee053189f1a878f5975c6afe51c71
Signed-off-by: Jett Rink <9d4aef0593e6843318d99df31597fb6153b89787@chromium.org>
Reviewed-on: https://review.coreboot.org/c/coreboot/+/32831
Reviewed-by: Furquan Shaikh <6be5c96c464778f89679b1062a2e0a6af93d2aa5@google.com>
Reviewed-by: Duncan Laurie <70662b43bc1a20b57ded72a2b08be88dd0da4841@chromium.org>
Tested-by: build bot (Jenkins) <8254d1186852c26c9fb3d343db6a5be86317fea9@coreboot.org>
",FALSE,FALSE,warm reset,,,28_dec_2020_pos_hits_3334798837
realm/SwiftLint,d61628289267107640657c0142e2577fd2489c44,"Add failing test for false positive in rule explicit_type_interface
",FALSE,FALSE,false positive,second order false positive,,28_dec_2020_pos_hits_3334798837
ngtcp2/ngtcp2,1e6968f46d56394cabbd14e55f37c68152951c70,"Stream creation and destruction; handling of stream fin
",FALSE,FALSE,stream destruction,,,28_dec_2020_neg_hits_3334798837
namics/generator-nitro,e3d46c9c38a37f06a2888d606293bace3899e5e4,"Fix merge - sorry.
",FALSE,TRUE,sorry,,,28_dec_2020_neg_hits_3334798837
sbt/sbt,a9cdd96152e08a1fb21e815eabe8fd1d27ef9b97,"Fixes #1181/#1501. Fixes ArrayIndexOutOfBoundsException: -1

When the compiler reports back the error to CompilationUnit created by Eval#mkUnit, it sometimes returns OffsetPosition whose `source` is set to `NoSourceFile`.

This causes ArrayIndexOutOfBoundsException. The current workaround is to pattern match on the passed in pos and create a new one when the incoming source looks suspicious.
I have not figured out whether this is caused by our macro code or compiler.
There are various build.sbt errors that would cause this behavior:

```scala
libraryDependencies ++= Seq(
  depA
  depB // missing comma
)

lazy val bob = scala.Console println

test ++

run+
```
",FALSE,TRUE,suspicious,,,28_dec_2020_neg_hits_3334798837
htcondor/htcondor,4fe0b843000b4643a102ca7a172d86e343bac5c8,"document -set, -rset, -unset, -runset, -tilde, and -owner options and
provide a quick and dirty example
",FALSE,TRUE,quick and dirty is dirty,,,28_dec_2020_neg_hits_3334798837
groue/GRDB.swift,5de7a5274ee42a1ece810a291172bf8b377d6ac7,"Remove useless #if swift(>=3.1)
",FALSE,TRUE,useless,,,28_dec_2020_neg_hits_3334798837
smrealms/smr,4523bb69bc83e218197e84075ab7fd88e7e9b950,"Some changes to optimise client-side performance, including moving inclusion of javascript files lower in the page (rendering is stalled until they are interpreted), and running all the javascript code through jslint.
",FALSE,FALSE,stalled is descriptive,,,28_dec_2020_neg_hits_3334798837
hazelcast/hazelcast,6d27b464e3839ccd3052f07d08be3323957d8007,"Made the simulateload a bit nicer for demonstrations

What happened is when there are multiple threads, there is not always an equal balance of load.
Sometimes, due to timing, a threads get an additional task. So e.g. if you are doing 16 tasks
with 2 threads and each task takes 1 second, then you would expect after 8 seconds it to be
complete. The 'bug' was that sometimes it is 9 seconds. With is perfectly fine, but it sucks
for demo's. This commit fixes that problem
",TRUE,TRUE,"nicer, sucks",,,28_dec_2020_neg_hits_3334798837
OSEHRA/VistA-M,4390073f964a15877ac5b9092eecb21f6262ab70,"Install hooks quietly during developer setup

Remove extra echo messages.  Use the '-q' option to Git commands to
keep them quiet if nothing goes wrong.  This removes extra output
during developer setup that includes unnecessary and possibly
confusing information like the commit message of the hooks branch
head.  For example, lines like

  HEAD is now at ad08c20 Merge branch 'itk-hook-cleanup' into hooks

are not useful.

Change-Id: Iceccd9013e7f8cf15a76c9bc80f033726881afa5
",FALSE,TRUE,confusing,,,28_dec_2020_neg_hits_3334798837
unioslo/cerebrum,acd8a2f789150299dfcb45c754bfa1b62304347f,"Fixing stupid bug. We accessing a key in a dict inside an if-else block that we only use if the dict _doesn't_ have the key.
",FALSE,TRUE,stupid,,,28_dec_2020_neg_hits_3334798837
ant-design/ant-design,849746b361cfa23d5322e3b6a7559e4dc9af8d76,"fix: Select use value width instead of default fixed width (#20538)

* init using content width

* auto width

* tmp magic number

* clean useless style
",FALSE,TRUE,useless,,,28_dec_2020_neg_hits_3334798837
atom/atom,d3422786c37f72e8576dce09fed21ad405c271c2,"Unmount component when EditorView is detached

Fixes #3431

When a pane item is moved to another pane, we *detach* the associated
view but we don’t fully remove it. This was to prevent removing a view
when it was used as the pane item directly. However, this was causing
the editor component not to be unmounted, which caused leaks and
incorrect measurements.

We need to unmount the component, but we don’t want to destroy the
editor. So I’ve moved editor destruction to the wrapper view for now,
and I only do it when the view is actually removed.

Ultimately, we need to have a 1:1 relationship with pane items and their
views and only allow a pane item to appear once in the pane tree. Then
we can recycle the same view and avoid this confusing situation where
the old view is detached and a new view is created.
",FALSE,TRUE,confusing,,,28_dec_2020_neg_hits_3334798837
catalyst-cooperative/pudl,f719ab1c8e80820cacdff9b73487f4ca06442e5b,"ferc small plant clean name integration

There are plant_name_clean, which was previously only names that had
been standardized by hand in a csv. In working on Issue #132, I was
trying to find all the records of ferc plant names and this came up as
an issue. I first tired to remove the dirty plant names but ran into a
database relationship issue (bc there are no plant ids, we use the
respondent and plant name as the composit id, but the name used is the
dirty names which are currently generated from the id_mapping process.

So, I made the plant_name_clean column a full list of names but did not
remove the 'plant_name' which is the raw uncleaned names. Working on
Issue #152.
",FALSE,TRUE,dirty (tired is misspelled tried),,,28_dec_2020_neg_hits_3334798837
uspgamedev/backdoor,23306bd861bf748dd8bbba8f3892c4bd20a5582d,"Merge pull request #187 from uspgamedev/player-death

Player death

Close #173 ",FALSE,FALSE,death is part of the content,,,28_dec_2020_neg_hits_3334798837
Bitcoin-com/Wallet,7a2ee02899a1a57dd49cf6725425f0f400744a0d,"prevent ugly flashes on iOS
",FALSE,TRUE,ugly,,,28_dec_2020_neg_hits_3334798837
apache/airflow,b9f868b5ec30d028e52f49b5deafb5214320f521,"Remove errors raised during initialiation of virtualenv (#10896)

Our migration scripts are written in the way that if you
are running them to reset the db and you have some files in
example_dags or dags, or some plugins in your plugins folder,
you will get various kinds of errors.

Those errors are printed to the user and even if they are
ultimately ignored by the SqlAlchemy migration process,
they are confusing whether the database reset
(and thus the whole initialize-virtualenv) were successful
or not.

This change disables any DAGs that could be loaded during the
DB reset (in case of running './breeze initialize-virtualenv'.

Fixes #10894",FALSE,TRUE,confusing. Note the 'succesful' is questioned,,,28_dec_2020_neg_hits_3334798837
Taeung/tip,ff9c114394aaed2061df112b75be9835a1394be4,"KVM: arm/arm64: GICv4: Handle MOVALL applied to a vPE

The current implementation of MOVALL doesn't allow us to call
into the core ITS code as we hold a number of spinlocks.

Let's try a method used in other parts of the code, were we copy
the intids of the candicate interrupts, and then do whatever
we need to do with them outside of the critical section.

This allows us to move the interrupts one by one, at the expense
of a bit of CPU time. Who cares? MOVALL is such a stupid command
anyway...

Reviewed-by: Christoffer Dall <39e5ecfe2ecc327c3e39af72d8d83d1bd0709aad@linaro.org>
Signed-off-by: Marc Zyngier <a16cc0c82647c52d401177f8e50567df5499e36c@arm.com>
Signed-off-by: Christoffer Dall <39e5ecfe2ecc327c3e39af72d8d83d1bd0709aad@linaro.org>
",FALSE,TRUE,stupid,,,28_dec_2020_neg_hits_3334798837
fsharp/FSharp.Compiler.Service,dc0bf5eec3521be8bb6c196af34eb7a3a7e76cec,"Merge master to dev15.6 (#4071)

* do not simplify open statements (#4068)

* Do not trigger completion on operators (#4054)

* No triggered completion on operators

* Check with classification data instead of stupid custom stuff

* Fix silly tests

* Feedback
",FALSE,TRUE,"stupid, silly",,,28_dec_2020_neg_hits_3334798837
eXist-db/exist,043a3936a8e88d34917e69ff09fae67d075c5ee5,"[bugfix] work around xerces bug: already resolved entities get lost if a DTD is loaded from the grammar cache. This leads to a serious problem: an entity which was resolved at validation time may no longer be known when eXist tries to store the document. Xerces throws an exception and leaves eXist in an unclean state, since only a part of the document was stored. The result is a corruption.

The bug fix works around the issue by disabling validation while eXist is actually storing the document's DOM.

svn path=/branches/eXist-stable-1.2/; revision=9161
",FALSE,FALSE,descriptive - the entities get lost,,,28_dec_2020_neg_hits_3334798837
ProtonMail/WebClient,097811d28b1c4dcdebdf22f2ec818031b8337e10,"Remove useless call to updatePageName
",FALSE,TRUE,useless,,,28_dec_2020_neg_hits_3334798837
Taeung/tip,305f3c8b20ba1ca94829329acdbf22e689304dba,"cgroup: move assignement out of condition in cgroup_attach_proc()

Gcc complains about this: ""kernel/cgroup.c:2179:4: warning: suggest
parentheses around assignment used as truth value [-Wparentheses]""

Signed-off-by: Dan Carpenter <ff341aa343d564f9e53e9dcb6996be8c04859a66@oracle.com>
Signed-off-by: Tejun Heo <546b05909706652891a87f7bfe385ae147f61f91@kernel.org>
",FALSE,FALSE,"While gcc complians, it probably doesn't do it with a negative sentiment",,,28_dec_2020_neg_hits_3334798837
opensim-org/opensim-core,0f9d437db003f6fa8da5f22828e40b3a5ad7d113,"The pendulum now has two translational (x & z) and 3 rotational degrees of freedom between it and the ground.  y is up.

git-svn-id: 9e047e1e624cce0a2485e750063112e834f85522@3204 fc29be9c-2cb0-420d-b520-73dbd18add6e
",FALSE,FALSE,degrees of freedom is not the desired freedom,,,29_dec_2020_pos_hits_e447a9eef8
stinsonga/emacs-mirror,dcb07ae9dc20c48dc4cd12a1e618e12ce6afa61a,"(XTread_socket) <ConfigureNotify>: Don't call
x_wm_set_size_hint if window has no parent yet.
Simplify the call to x_real_positions.
(x_make_frame_visible): Use win_gravity to decide whether to
call XMoveWindow.  Also, don't do it if frame already visible.
",FALSE,FALSE,Not such an impressive win,,,29_dec_2020_pos_hits_e447a9eef8
ulfalizer/Kconfiglib,67e890cc9d926213fbec93afb3ee14e6c24f9a50,"Handle multiple definition locations in a nicer way

Instead of precalculating a set() to get unique symbols, precalculate a
list with any duplicates from multiple definition locations removed, and
preserve the order of the symbols within it.

This makes it possible to get rid of the Symbol._written shenanigans in
functions that only need to iterate through unique symbols in sorted
order, which is all of them except write_config() (because it needs to
walk the entire menu tree).
",TRUE,FALSE,nicer,,,29_dec_2020_pos_hits_e447a9eef8
dropwizard/dropwizard,bb6209d053995c4b2111a0525ae231902f662edb,"Exception Mapper Logging Enhancements (#2129)

* Made master POM Eclipse friendly.

Eclipse does not support the errorprone compiler; moved errorprone setup
from build-plugins to profiles. There are now two profiles, one for
Eclipse and one for everything else.

* Exception mapper logging enhancements

1) Implemented debug logging for JerseyViolationExceptionMapper.
2) Fixed compiler warning regarding serialization for
JerseyViolationException.
3) Wrapped debug statement in JsonPropcessingExeptionMapper with
""isDebugEnabled""; this will ensure the JVM does not bother loading and
caching the log string unless debug is actually enabled. This will also
allow more aggressive code optimization when running the server JVM.

* New unit test.

* Changes as per PR code review

Removed if (LOG.isDebugEnabled()) checks from log statements with
simplistic messages to match requested style.
",FALSE,FALSE,"eclipse friendly, JVM doesn't bother",,,29_dec_2020_pos_hits_e447a9eef8
moodle/moodle,f594143b56b7c54b47b93dc337263dd7344e6aa8,"Now the Wiki module seems to be working fine. But I've marked it as
""PROG"" (progress) because I haven't been able to reproduce the load
of binary data directly to DB reported by some moodlers in forums.

I've created bug 2634 to see if somebody can point me in the correct
direction to reproduce it.
",TRUE,FALSE,fine,FALSE,,29_dec_2020_pos_hits_e447a9eef8
GNOME/gnome-builder,9d84ba5009a41ab729d7421be1a4f09485600169,"code-index: port index builder to IdeTask

We have more control over where things are freed using IdeTask,
and we can use this object as a way to catch any issues that
might still exist before we push things through the rest of the
code base.

That said, I've used IdeTask to catch lots of bugs already, so
I'm pretty confident in it's usage now.
",FALSE,FALSE,"I'm pretty confident that ""I'm pretty"" is not positive here",,,29_dec_2020_pos_hits_e447a9eef8
yade/trunk,9b33018eb001a3acec56f00d447065a1713f412c,Previous commit correction. Thanks to Vaclav.,TRUE,FALSE,thanks,,,29_dec_2020_pos_hits_e447a9eef8
vroyer/elassandra,52e6fdf3d68b7ba77b6a88d8a921c830d5c3200b,"Unmute WildFly tests in FIPS JVM (#32814)

WildflyIT test fails in a FIPS JVM due to the amount of output in stderr. The excessive stderr output is due to https://bugs.openjdk.java.net/browse/JDK-8202893 and is not an indication of a failure that should be tracked.
This commit adjusts the limit to something more lenient that would allow the test to succeed.
Reverts #32543",FALSE,FALSE,The limit is lenient,,,29_dec_2020_pos_hits_e447a9eef8
os-autoinst/openQA,d29cef5f96cdadf8004ca5ed47b957113ec00f50,"Timeout for wait_for_ajax

This function currently has two flaws:

- if jQuery is not defined, it'll produce errors forever
- if jQuery.active is never set to  1, the test will run forever

There should be a maximum timeout for the wait, as well as a check that
avoids repeated Javascript errors which turn into redundant test failures.

As a bonus, showing successful waits is probably nice to have.
",TRUE,FALSE,nice,,,29_dec_2020_pos_hits_e447a9eef8
artsy/metaphysics,4d1023f8c3f981a5c20ef7a1c46ce2a7612ee242,"Merge branch 'master' into strengthen_types
",FALSE,FALSE,strengthen_types,,,29_dec_2020_pos_hits_e447a9eef8
netty/netty,21720e4a7865b77d252a4263271663d7ed462440,"Allow to build on powerpc

Motivation:

At the moment it is not possible to build netty on a power 8 systems.

Modifications:

- Improve detection of the possibility of using Conscrypt
- Skip testsuite-shading when not on x86_64 as this is the only platform for which we build tcnative atm
- Only include classifier if on x86_64 for tcnative as dependency as this is the only platform for which we build tcnative atm
- Better detect if UDT test can be run

Result:

Fixes https://github.com/netty/netty/issues/9479
",FALSE,FALSE,motivation is part of the message structure,,,29_dec_2020_pos_hits_e447a9eef8
openzipkin/zipkin,823cf58b5acc5b296032cb346e6aa2918d30f09c,"Changes server README to encourage pre-built artifacts (#1257)

Before this change, the zipkin-server README directed people to build
locally. This is not the easiest way to get started, especially on
less used environments like Windows and Eclipse. This encourages users
to download pre-built jars instead (similar to the root README).

See #1256",TRUE,FALSE,encourages,FALSE,,29_dec_2020_pos_hits_e447a9eef8
Jackett/Jackett,90959c1fc3c269d01dd67fea927b8cfb6c5fc2c3,"Best Friends: Fix parsing for users with waiting time (#696)

",FALSE,FALSE,best friends?,FALSE,,29_dec_2020_pos_hits_e447a9eef8
tensorflow/tensorflow,0330d3459015261587e60cf86f311772316c8eda,"Check `group_size` in collectives is a positive integer.

PiperOrigin-RevId: 274866052
Change-Id: I99f130e27e8ff3e126aaf8d382519cef6bb0d41e
",FALSE,FALSE,positive integer,,,29_dec_2020_pos_hits_e447a9eef8
qgis/QGIS,5c89fdfea39ffb454943a837b9b10ab2539464ba,"[SERVER][FEATURE] Add DescribeLayer Method to WMS

*Styled Layer Descriptor profile of the Web Map Service* : DescribeLayer

http://www.opengeospatial.org/standards/sld

Defining a user-defined style requires information about the features being
 symbolized, or at least their feature/coverage type. Since user-defined styles
 can be applied to a named layer, there needs to be a mechanism by which a
 client can obtain feature/coverage-type information for a named layer. This is
 another example of bridging the gap between the WMS concepts of layers and
 styles and WFS/WCS concepts such as feature-type and coverage layer. To allow
 this, a WMS may optionally support the DescribeLayer request.

DescribeLayer method has been thought to be a better approach than overloading
 the WMS capabilities document even more.

For each named layer, the description should indicate if it is indeed based on
 feature data and if so it should indicate the WFS/WCS (by a URL prefix) and
 the feature/coverage types. Note that it is perfectly valid for a named layer
 not to be describable in this way.
",FALSE,FALSE,perfectly valid,,,29_dec_2020_pos_hits_e447a9eef8
coursier/coursier,e9aec8c51118aa9f83b8c85eaafac1d169766b43,"Merge pull request #497 from coursier/topic/fix-unidoc

Ensure unidoc generation works fine with sbt-coursier",FALSE,FALSE,works fine,,,29_dec_2020_pos_hits_e447a9eef8
darktable-org/darktable,049aeb7103e12e2d428aba8969e7e52261694a51,"Add Pentax K-5 enhanced matrix thanks to Denis Cheremisov
",TRUE,FALSE,thanks,,,29_dec_2020_pos_hits_e447a9eef8
puavo-org/puavo-os,ef61b3539c20d38633724b0ae7a42420a1775e65,"Rename README to README.rst to take advantage of Github rst-rendering
",FALSE,FALSE,take advantage,,,29_dec_2020_pos_hits_e447a9eef8
geneweb/geneweb,9b15e79d6344f7ec8879faf44aa79c5fc365a249,"Fix GEDCOM line alignement

When GEDCOM lines split (CONC/CONT tag) text lines are not cut at the good length (not aligned)
",FALSE,FALSE,good,,,29_dec_2020_pos_hits_e447a9eef8
GoldenCheetah/GoldenCheetah,068dcf0fb2e9f129793454680188f3a46cd8ede4,"Fix Huge Fonts on R chart

.. when on a hidpi display
",FALSE,FALSE,huge,,,29_dec_2020_pos_hits_e447a9eef8
flutter/flutter,18d5c5e7aec9c726fb2eaf74a5dab04979179c03,"didChangeNext()

Replace didPushNext() and didReplaceNext() with didChangeNext(), and
call it in more cases, so that a route can easily track the next route.

Use this to make TransitionRoute properly track its next route so that
you can do next-route-driven animations that work even with removes,
replaces, and other crazy manipulations of the navigator stack.
",FALSE,TRUE,crazy,,,29_dec_2020_neg_hits_e447a9eef8
georchestra/georchestra,9833ff38259b5a8a2754082fa1cb3340831ff9da,"Add a 'testdelegatedadmin' user (#2112)

* remove testuser & testeditor from ORGADMIN role, this was confusing. This
  effectively reverts 7e62e684
* adapt sample delegations in 05-console-data.sql
",FALSE,TRUE,confusing,,,29_dec_2020_neg_hits_e447a9eef8
davinkevin/Podcast-Server,e533bce22ca15c6cea9f9934dc392e5f88db8964,"chore(pom): remove useless repository server
",FALSE,TRUE,useless,,,29_dec_2020_neg_hits_e447a9eef8
JetBrains/intellij-community,f37ff775bc7f7b56e5deb362d66b306442855a97,"IDEA-145688 MacOSX: Default L&F: hidden password looks ugly
",FALSE,TRUE,ugly,,,29_dec_2020_neg_hits_e447a9eef8
facebookexperimental/eden,7f886187215fead216590c2a03a288fb20aa9d75,"hg rage: add environment variables to the output

Reviewed By: phillco

Differential Revision: D13042931

fbshipit-source-id: bbd283021bce67f42811664db49e135e5564bb5d
",FALSE,FALSE,rage?,,,29_dec_2020_neg_hits_e447a9eef8
suffolklibraries/sljekyll,1cb72b6ea964a2b73a060d8181fd9037a323e64a,"alice is stupid
",FALSE,TRUE,stupid,,,29_dec_2020_neg_hits_e447a9eef8
Zarel/Pokemon-Showdown-Client,a9b8155b5dff890ce2c75f04d36a341e82faa65f,"Implement EV guesser test

Also improve existing battle test.
",FALSE,FALSE,battle,,,29_dec_2020_neg_hits_e447a9eef8
librenms/librenms,86330d051ebfefe1d212c05319f7f57ee5f10d17,"Add doc stub for SNMP trap handling
",FALSE,FALSE,trap,,,29_dec_2020_neg_hits_e447a9eef8
SleepyTrousers/EnderIO,42a626136c5047e0829779cb63dbbcc9a7fa33b0,"Protect our server tick profiling against bad mods

",FALSE,TRUE,bad,FALSE,,29_dec_2020_neg_hits_e447a9eef8
kubernetes/kubernetes,6c059cb9a14d8f07b5812c8f7195c638e4abc68a,"Merge pull request #36169 from hpcloud/vsphere_bad_conditional

Automatic merge from submit-queue

Bad conditional in vSphereLogin function

```release-note
Fixes NotAuthenticated errors that appear in the kubelet and kube-controller-manager due to never logging in to vSphere
```

With this conditional being == instead of !=, a login would never actually be attempted by this provider, and disk attachments would fail with a NotAuthenticated error from vSphere.",FALSE,FALSE,bad is descriptive,,,29_dec_2020_neg_hits_e447a9eef8
alphagov/smart-answers,a0f0b744f9672485e11663dc36168342fb0da918,"Further refactor of register birth and death abroad
",FALSE,FALSE,death,,,29_dec_2020_neg_hits_e447a9eef8
apache/spark,70f4bbccc511c60266511c752a1fa37b20be3f8d,"[SPARK-28414][WEBUI] UI updates to show resource info in Standalone

## What changes were proposed in this pull request?

Since SPARK-27371 has supported GPU-aware resource scheduling in Standalone, this PR adds resources info in Standalone UI.

## How was this patch tested?

Updated `JsonProtocolSuite` and tested manually.

Master page:

![masterpage](https://user-images.githubusercontent.com/16397174/62835958-b933c100-bc90-11e9-814f-22bae048303d.png)

Worker page

![workerpage](https://user-images.githubusercontent.com/16397174/63417947-d2790200-c434-11e9-8979-36b8f558afd3.png)

Application page

![applicationpage](https://user-images.githubusercontent.com/16397174/62835964-cbadfa80-bc90-11e9-99a2-26e05421619a.png)

Closes #25409 from Ngone51/SPARK-28414.

Authored-by: wuyi <315d129247cdf1c97adf1451120b7428ae20ce7e@163.com>
Signed-off-by: Thomas Graves <a1a405b82800b492a7268cba6bc58270d2b527de@apache.org>
",FALSE,FALSE,A developer named Graves,,,29_dec_2020_neg_hits_e447a9eef8
MRPT/mrpt,81c96682ee9975f73ea29f7ed50499e53aa1cfe7,"FIX: pinhole must accept more distortion parameters (since opencv3)
",FALSE,FALSE,distortion parameters,,,29_dec_2020_neg_hits_e447a9eef8
BuddyForms/BuddyForms,c696ebce1b9e073c2d3dfdada8f1d053ddaa71bc,"update Validation Plugin - v1.15.0
just added an if statement to avoid empty array issues
Fixed a ugly validation error where hidden values with required attribute have been validated but could never have a value because they are hidden
",FALSE,TRUE,ugly,,,29_dec_2020_neg_hits_e447a9eef8
pfsense/pfsense,351ef3ef2ac1bbcfb0643a5efc46a3970d06d78c,"Fix #7151 Misleading setHelp for Interface Group Name

Might as well use the same text as is given to the user in the error message already in this code.",FALSE,TRUE,misleading,FALSE,,29_dec_2020_neg_hits_e447a9eef8
moodle/moodle,00da1e601095b132a95f384dd6184e1cf1f17a75,"MDL-59116 analytics: Multiple predictions for each analysable time range

Now we only predict using the most recent range available, this means
that if someone upgrades to moodle 3.4 at three quarters of a course
we will only calculate the latest range, previous ranges were not
displayed anyway once more recent predictions were available.

This commit deletes all previous predictions :) this shouldn't be a
problem in master as we don't provide any guarantee, the alternative
(retrive sampleids from mdl_files) would have been slow and a waste of
time as well as require horrible code in an upgrade step (text fields
do not accept defaults nor we can use NOTNULL).
",FALSE,TRUE,"waste, horrible",,,29_dec_2020_neg_hits_e447a9eef8
ammobinDOTca/ammobin-api,1a9cf9f215668e7abe513b0ec5e3ba3203319bb7,try to prevent bad strings,FALSE,FALSE,bad is descriptive,,,29_dec_2020_neg_hits_e447a9eef8
tensorflow/swift-apis,4ff21c95ef7875128f3a42b213778da2abd16f2f,"X10 bindings: appease `cl` (#841)

Unfortunately, `clang` accepts the redeclaration with different linkage,
`cl` objects.  This does an even worse workaround for this problem by
relying on the implementation to mark the declarations with
`__declspec(dllexport)` and getting the annotation incorrect for the
user code.  This should have only a minor penalty for Windows in terms
of performance.  Further complicating matters is that `cl` does not seem
to accept `__declspec(dllexport)` after the return type with bazel for
some reason, so explicitly place it before the decl, which would break
clang's `__attribute__` usage.",FALSE,TRUE,", worse",,,29_dec_2020_neg_hits_e447a9eef8
